tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_term	PubMed	Category
3702	814629	GO:0005634	ISM	-	nucleus	-	Component
3702	814629	GO:0008150	ND	-	biological_process	-	Process
3702	814630	GO:0003677	IEA	-	DNA binding	-	Function
3702	814630	GO:0003700	ISS	-	DNA-binding transcription factor activity	1111813711118137	Function
3702	814630	GO:0005634	IEA	-	nucleus	-	Component
3702	814630	GO:0005634	ISM	-	nucleus	-	Component
3702	814630	GO:0006355	TAS	-	regulation of transcription, DNA-templated	1111813711118137	Process
3702	814636	GO:0003674	ND	-	molecular_function	-	Function
3702	814636	GO:0005886	IBA	-	plasma membrane	2187363521873635	Component
3702	814636	GO:0005886	IDA	-	plasma membrane	1731766017317660|17644812	Component
3702	814636	GO:0008150	ND	-	biological_process	-	Process
3702	814636	GO:0016021	IEA	-	integral component of membrane	-	Component
3702	814637	GO:0000137	HDA	-	Golgi cis cisterna	3126689931266899	Component
3702	814637	GO:0003674	ND	-	molecular_function	-	Function
3702	814637	GO:0005794	IDA	-	Golgi apparatus	2243084422430844	Component
3702	814637	GO:0005794	ISM	-	Golgi apparatus	-	Component
3702	814637	GO:0005886	ISM	-	plasma membrane	-	Component
3702	814637	GO:0008150	ND	-	biological_process	-	Process
3702	814637	GO:0016021	IEA	-	integral component of membrane	-	Component
3702	814638	GO:0005739	HDA	-	mitochondrion	2888738128887381	Component
3702	814638	GO:0005750	IBA	-	mitochondrial respiratory chain complex III	2187363521873635	Component
3702	814638	GO:0006122	IBA	-	mitochondrial electron transport, ubiquinol to cytochrome c	2187363521873635	Process
3702	814638	GO:0008121	IBA	contributes_to	ubiquinol-cytochrome-c reductase activity	2187363521873635	Function
3702	814638	GO:0009060	IBA	-	aerobic respiration	2187363521873635	Process
3702	814639	GO:0003674	ND	-	molecular_function	-	Function
3702	814639	GO:0005634	ISM	-	nucleus	-	Component
3702	814639	GO:0008150	ND	-	biological_process	-	Process
3702	814640	GO:0009507	IDA	-	chloroplast	1843148118431481	Component
3702	814640	GO:0009507	ISM	-	chloroplast	-	Component
3702	814640	GO:0009535	IDA	-	chloroplast thylakoid membrane	1920721019207210	Component
