WBInteraction000000001	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001080	dpy-21	Non_directional	WBGene00003003	lin-14	Non_directional
WBInteraction000000002	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001080	dpy-21	Non_directional	WBGene00023498	lin-15A	Non_directional
WBInteraction000000003	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001080	dpy-21	Non_directional	WBGene00006962	xol-1	Non_directional
WBInteraction000000004	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracte.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001081	dpy-22	Non_directional	WBGene00003003	lin-14	Non_directional
WBInteraction000000005	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001085	dpy-26	Non_directional	WBGene00003003	lin-14	Non_directional
WBInteraction000000006	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001086	dpy-27	Non_directional	WBGene00003003	lin-14	Non_directional
WBInteraction000000007	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	DeLong L et al. (1987) Genetics Assessment of X chromosome dosage compensation in Caenorhabditis elegans by ....	WBGene00001087	dpy-28	Non_directional	WBGene00003003	lin-14	Non_directional
WBInteraction000000008	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	Hodgkin JA (1987) Annu Rev Genet Sex determination and dosage compensation in Caenorhabditis elegans.	WBGene00001193	egl-26	Non_directional	WBGene00006606	tra-3	Non_directional
WBInteraction000000009	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	Hodgkin JA (1987) Annu Rev Genet Sex determination and dosage compensation in Caenorhabditis elegans.	WBGene00001481	fog-1	Non_directional	WBGene00006604	tra-1	Non_directional
WBInteraction000000010	Genetic	Genetic_interaction	Interaction data was extracted by a curator from sentences enriched by Textpresso.  The interaction was attributed to the paper(s) from which it was extracted.	Hodgkin JA (1987) Annu Rev Genet Sex determination and dosage compensation in Caenorhabditis elegans.	WBGene00004880	smg-2	Non_directional	WBGene00006606	tra-3	Non_directional
